0	2.9274
3105	3.6740
4358	2.9272
1271	3.4389
5336	2.6057
1	1.9464
9	3.3479
4359	2.1932
14	2.6982
2834	2.1904
2823	2.3098
2824	2.3896
2838	4.1743
2825	2.7154
4114	2.7596
2	1.6609
3	3.9638
4360	1.7629
2826	2.5480
4363	2.1985
1594	3.5266
2827	2.8443
4	2.9962
2828	3.5266
32	2.7801
1353	3.9508
6	1.8548
7	3.0609
1354	1.8664
2801	1.9464
1355	1.8548
2865	2.9274
2829	2.2673
10	2.9604
1252	2.5480
11	2.3678
12	1.9464
1346	3.1367
13	2.6260
2874	3.9601
460	3.3034
2832	2.4470
1357	2.5550
2879	2.6545
2881	2.3212
4365	1.5631
3607	1.9012
1359	2.5334
4386	2.2284
4937	1.8822
4366	3.2848
4367	2.7596
1360	2.8471
15	3.1097
4368	3.5442
3608	2.4316
1361	3.1052
1362	2.9424
5312	2.4572
2833	2.3403
16	3.8936
4539	3.4389
85	1.8295
2259	2.2553
4371	3.6205
2909	2.7596
2911	2.5649
4372	1.5556
1363	3.1212
1364	1.8717
4373	1.7536
4374	1.9464
5060	1.7457
1365	1.4577
18	2.2284
103	2.8916
20	3.0245
2839	3.7686
2840	3.4812
2841	2.0517
2842	4.2639
21	2.9604
2940	1.8822
2843	3.4382
1366	3.1365
4376	3.4389
2844	2.8627
126	3.2577
22	2.9604
23	2.3314
1298	3.1464
858	4.6532
4378	2.2341
4361	3.5202
1368	2.9068
2845	3.5419
2846	2.3103
24	2.5367
2847	2.2492
1369	3.0475
1370	3.5442
2849	2.9358
4379	2.5649
4380	2.0878
4381	3.0755
25	3.1464
1372	3.8936
1373	2.0870
2850	1.9464
26	1.8717
4382	4.6044
4383	3.1464
4384	3.3911
27	3.4659
4849	2.5551
28	2.6396
2852	3.6740
2983	3.2685
166	2.3747
4385	1.8438
30	1.7233
5	1.8353
1375	1.7764
2314	1.9464
2853	2.0949
1376	3.8435
2855	2.7187
33	2.5551
1378	1.7504
5533	3.5266
1379	2.8587
1380	1.8872
204	2.9604
35	1.7378
36	1.5082
2856	2.3544
208	1.9348
2857	2.0878
4851	2.7710
3065	3.2265
4387	3.4400
2858	3.1653
37	4.1321
4388	2.2487
2020	2.8443
1381	3.5266
2859	2.8334
2860	2.1985
5591	2.8226
1382	2.5364
4999	2.9625
1383	2.2693
38	2.8319
466	2.3543
3061	2.8443
3063	3.3358
39	3.1504
2861	3.4389
1385	2.9604
1386	2.2842
4394	2.8733
4050	2.8491
1388	2.1845
1389	1.9486
4395	2.3541
3073	1.0384
3237	2.0646
40	2.0878
4396	2.2842
2864	3.3051
1391	3.5058
41	2.7093
4935	3.2685
42	2.4216
2866	1.7385
2785	2.3826
2867	2.0878
2868	2.2738
4399	2.5333
2711	2.5074
3511	1.2753
4400	3.3632
1394	2.6982
2059	2.5074
43	2.4435
992	3.1504
282	3.4389
44	4.2197
1396	2.4316
4402	3.0757
45	1.9464
1397	1.5786
1398	2.6997
1144	3.4812
46	1.9325
2870	1.5561
4405	3.6205
670	3.6205
1400	2.3792
4406	2.4115
3147	1.7774
377	1.5085
1401	2.1590
3152	2.3180
3154	3.2265
2871	2.7950
470	3.4733
47	1.9486
2872	2.8488
1403	1.9486
48	3.4389
1404	2.7312
1405	1.9464
50	3.5724
51	2.7664
1406	2.8334
52	2.6259
4407	2.5480
5166	2.2673
336	3.0334
1842	3.8444
4409	3.5442
54	2.0870
4410	3.3828
2875	2.8422
1408	1.8433
2876	3.1719
1409	1.3693
2877	2.5645
4411	2.3270
3067	2.7598
2878	2.9669
55	1.7642
4413	3.1148
4414	2.1279
1410	1.9464
57	2.9604
58	0.9179
4416	1.6587
2880	2.6548
1411	3.4389
1412	2.2928
61	2.9100
62	1.9126
370	2.9523
4418	2.0878
3231	2.9621
4420	2.9774
378	3.8936
1414	2.4279
2883	2.9419
381	2.6396
2568	1.9464
2884	3.2382
3245	2.7373
1416	3.4527
4423	2.5150
4424	2.0800
1603	2.1287
4425	2.4533
67	2.4560
2071	2.0111
4426	3.0334
68	1.5770
1418	3.6724
1419	2.3414
1420	1.6650
2887	2.8199
1421	3.1148
2888	2.7801
1423	3.1097
1424	3.3479
69	2.0053
70	2.6795
71	2.9774
2889	2.4722
2598	3.0674
72	2.7046
4431	3.8435
1425	2.0381
4433	3.2265
73	2.7449
4434	3.5419
1426	1.9464
2322	3.5442
74	3.3476
2890	2.1534
1427	3.3724
2891	4.6044
3294	3.5546
3295	2.6523
75	2.3541
4436	2.6167
3886	2.9215
1428	1.8713
76	1.9464
2894	2.9672
1429	2.7073
4438	1.8976
2896	2.5480
77	4.1321
78	2.3544
4439	3.0674
2897	2.6055
3324	3.1785
5370	2.5334
79	3.4854
5541	2.3249
2898	2.1740
4440	3.3912
1432	1.9464
4441	2.9774
2323	3.5058
1589	3.6740
80	2.5480
3343	3.4530
4442	2.3541
1434	2.8126
2899	2.0664
1436	1.5897
81	3.5405
