F1	#dependency_up||X--up||X--down||
F2315	#dependency_up||NP_MOD--up||NP_MOD--up||NP_OBJ--up||VP--down||VP--down||NP_AJT--down||VP_MOD--down||NP_AJT--down||NP--down||
F2854	는-@-NNG
F1377	#dependency_국제-@-NNG--공항-@-NNG--국제-@-NNG--공항-@-NNG--있-@-VA--인-@-NNG
F2856	경부-@-NNG
F34	#dependency_일-@-NNB
F1379	#dependency_up||VP--down||NP_AJT--down||VP_MOD--down||NP_AJT--down||NP--down||
F5534	우완-@-NNG
F1380	#dependency_up||NP_MOD--up||NP_SBJ--down||NP_MOD--down||
F1381	행정_-@-NNP
F205	#dependency_세인트루이스-@-NNP
F36	지방-@-NNG
F37	재임-@-NNG
F2857	연재-@-NNG
F209	포항시-@-NNP
F2858	도-@-NNB
F4852	아프리카-@-NNP
F3066	#dependency_위치-@-NNG--쓰_시-@-NNP
F4388	레이블-@-NNG
F2859	텔레비전_-@-NNP
F38	#dependency_up||NP--up||NP--up||NP_SBJ--up||VNP--down||VP_MOD--down||NP_AJT--down||NP--down||
F4389	이스라엘-@-NNP
F2021	잔류-@-NNG
F1382	#dependency_대신-@-NNG
F2860	입학-@-NNG
F2861	위험-@-NNG
F5592	도로-@-NNG
F1383	#dependency_대통령-@-NNG--대-@-NNB
F5000	가고시마_시-@-NNP
F1384	삿포로-@-NNP
F39	흐르-@-VV
F467	성우-@-NNG
F3062	#dependency_up||NP--up||NP--down||X--down||NP--down||
F3064	동물-@-NNG
F40	#dependency_up||NP_AJT--up||VP_MOD--up||NP--down||NP--down||
F2862	#dependency_up||NP_CNJ--down||VP_MOD--down||NP_AJT--down||
F1386	미금-@-NNP
F1387	능-@-NNG
F4395	외야-@-NNG
F4051	#dependency_up||X_MOD--down||
F1389	귀족-@-NNG
F1390	방문-@-NNG
F4396	#dependency_up||NP_MOD--up||NP--up||NP_AJT--up||VP--down||VP--down||
F3074	가-@-VV
F3238	라_-@-NNP
F41	#dependency_클럽_-@-NNP--월드컵-@-NNG--등-@-NNB--사용-@-NNG--노래-@-NNG--기악-@-NNG--찬가-@-NNG
F4397	영수-@-NNG
F2865	벨라루스-@-NNP
F1392	스코틀랜드-@-NNP
F42	챔피언스-@-NNG
F4936	#dependency_결성-@-NNG
F43	#dependency_up||X--up||NP--down||
F2867	체포-@-NNG
F2786	각지-@-NNG
F2868	#dependency_지위-@-NNG--부여-@-NNG--부여-@-NNG--이후-@-NNG--성립-@-NNG
F2869	#dependency_up||NP_OBJ--down||
F4400	억-@-NR
F2712	조선_숙종-@-NNP
