F1	#dependency_up||X--up||X--down||
F4777	#dependency_작품-@-NNG
F499	#dependency_up||NP_AJT--up||VP--up||VP_MOD--up||NP_SBJ--down||
F4667	선암-@-NNP
F308	집단-@-NNG
F3149	면적-@-NNG
F3150	원역-@-NNG
F1656	논란-@-NNG
F3151	그리스-@-NNP
F310	#dependency_금동지장-@-NNP--보살-@-NNG--좌상-@-NNG--불상-@-NNG--만들-@-VV--년-@-NNB--있-@-VA--선운-@-NNP--고창군-@-NNP
F4669	삼성-@-NNP
F311	#dependency_당시-@-NNG--인지-@-NNG--중-@-NNB--빚-@-VV--중-@-NNB--지내-@-VV--지내-@-VV--전국-@-NNG--위원-@-NNG
F312	철-@-NNG
F313	#dependency_up||X--down||
F4791	지-@-NNG
F1657	직계-@-NNG
F1639	철학-@-NNG
F1658	은혁-@-NNP
F4673	발탁-@-NNG
F314	#dependency_속-@-NNG--박쥐-@-NNG--중-@-NNB--하나-@-NR
F315	#dependency_up||NP_SBJ--up||VP--down||X--down||
F316	히가시-@-NNP
F1659	#dependency_up||NP_AJT--up||VP--down||VP--down||VP--down||VP--down||NP--down||VP_OBJ--down||NP_SBJ--down||NP_MOD--down||
F4456	#dependency_up||NP--up||NP--up||NP_SBJ--up||VNP--down||NP--down||X--down||NP--down||NP--down||
F1805	#dependency_다음-@-NNG--기록-@-NNG--중-@-NNB
F3156	#dependency_up||NP_OBJ--up||VP_MOD--down||NP_AJT--down||
F1660	월드컵-@-NNG
F4675	선언-@-NNG
F1661	로스앤젤레스-@-NNP
F3157	이명박-@-NNP
F4676	재건-@-NNG
F1734	#dependency_up||X--up||NP--down||VP_MOD--down||NP_AJT--down||
F3158	#dependency_up||NP--up||NP_AJT--up||VP_MOD--up||VNP--down||NP_SBJ--down||NP_CNJ--down||NP--down||NP--down||NP--down||NP--down||
F320	조에쓰_시-@-NNP
F1193	출범-@-NNG
F1662	달성-@-NNG
F3159	남쪽-@-NNG
F287	#dependency_up||NP_OBJ--down||NP--down||NP--down||
F1663	#dependency_up||NP--up||X_MOD--down||
F4678	#dependency_홋카이도_-@-NNP--여객철-@-NNP--위치-@-NNG--시라오이-@-NNP--_정-@-NNP--시라오이_군-@-NNP
F3160	모델_-@-NNP
F4679	#dependency_up||NP_MOD--up||NP--up||
F321	#dependency_대표-@-NNG
F4680	#dependency_너기츠-@-NNP--팀-@-NNG--소속-@-NNG--년-@-NNB--하-@-VV--덴버-@-NNP
F3161	군사-@-NNG
F322	생-@-NNG
F254	#dependency_up||NP--up||NP_OBJ--up||VP_MOD--up||NP--up||VNP--down||NP_SBJ--down||NP--down||
F4843	#dependency_등-@-NNB--세력-@-NNG--추방-@-NNG--등-@-NNB--표시-@-NNG--왕실-@-NNG
F4682	은-@-NNG
F3162	학생-@-NNG
F1665	비단털쥐-@-NNG
F4684	보수-@-NNG
F1666	친일반-@-NNP
F2382	입문-@-NNG
F4685	생각-@-NNG
F3163	이야기-@-NNG
F324	캥거-@-NNP
F5113	절친하-@-VA
F1668	천안시-@-NNP
F3165	브롱크스-@-NNP
F4686	#dependency_up||VP--down||VP--down||NP_AJT--down||NP_MOD--down||
F2524	아바시리_시-@-NNP
F2383	지금-@-NNG
F328	#dependency_참여-@-NNG
F3166	는-@-NNP
F329	고등-@-NNG
F3167	부르-@-VV
F4687	과반-@-NNG
F330	제자-@-NNG
F4689	#dependency_up||NP--up||NP_AJT--up||VP--down||VP--down||VP--down||NP_AJT--down||
F1669	기악-@-NNG
F1670	이상-@-NNG
F3168	#dependency_도-@-NNG
F4887	#dependency_강성국-@-NNP--출신-@-NNG--보컬리스트-@-NNG
F4011	집권-@-NNG
F331	#dependency_up||NP_OBJ--up||VP--down||VP--down||NP_SBJ--down||NP_MOD--down||VP_MOD--down||VP--down||NP_OBJ--down||NP_CNJ--down||VP_MOD--down||NP_OBJ--down||NP_MOD--down||NP--down||
F1672	백부-@-NNG
F3169	유고슬라비아-@-NNP
F4691	초기-@-NNG
F2642	박물-@-NNG
F4655	#dependency_up||X--up||VP_MOD--down||NP--down||X_MOD--down||
F3170	#dependency_후보-@-NNG--누르-@-VV--가-@-VV--선거-@-NNG--대통령-@-NNG
F1673	야마나시_현-@-NNP
F5587	내-@-VV
F1675	나방-@-NNG
F3171	#dependency_속-@-NNG--속-@-NNG--하나-@-NR
F3172	#dependency_챔프-@-NNG
F4693	#dependency_이-@-VV--정치-@-NNG
F332	프리메라리가-@-NNG
F3173	#dependency_주석-@-NNG
F4694	역명-@-NNG
F1676	백악관-@-NNP
F1677	#dependency_up||X--up||VP--down||X--down||
F1408	여-@-NNG
F334	수립-@-NNG
F3174	#dependency_up||NP_MOD--up||VNP_MOD--up||NP_AJT--down||
F3175	실시-@-NNG
F3176	동점-@-NNG
F1678	캐스팅-@-NNG
F1679	오보에-@-NNG
F1680	차례-@-NNG
F3177	#dependency_up||NP_CNJ--up||NP--down||X_CNJ--down||
F4695	명-@-NNG
F1681	당-@-NNG
F336	공-@-NNG
F4696	패러디-@-NNG
F3178	#dependency_멤버-@-NNG--가수-@-NNG
F1682	솔-@-NNG
F3179	#dependency_up||NP_SBJ--up||NP_AJT--down||VP_MOD--down||NP_AJT--down||
F4409	도쿠가와_이에야스-@-NNP
F3180	막-@-VV
F1683	#dependency_후보-@-NNG--대한민국_-@-NNP--대통령_-@-NNP--선거-@-NNG--홍보-@-NNG--방송-@-NNG--시작-@-NNG--최초-@-NNG
F338	센다이-@-NNP
F3134	해군-@-NNG
F4698	#dependency_있-@-VA--마쓰야마_시-@-NNP
F4699	#dependency_이후-@-NNG--되-@-VV
F3181	#dependency_있-@-VA--아시베쓰_시-@-NNP
F4894	#dependency_홋카이도_-@-NNP--여객철-@-NNP--위치-@-NNG--에니와_시-@-NNP
F469	#dependency_필하모니-@-NNG--교향-@-NNG--악-@-NNG--단-@-NNG--대표-@-NNG
F1684	패배-@-NNG
F3182	#dependency_up||NP--up||NP--up||NP_SBJ--up||VNP--down||VP_MOD--down||NP_AJT--down||NP_CNJ--down||NP--down||
F3183	세키호쿠_-@-NNP
F1950	채우-@-VV
F340	#dependency_up||NP--up||NP_MOD--up||NP--up||VNP--down||NP_SBJ--down||VP_MOD--down||NP_AJT--down||NP--down||
F3184	노무현-@-NNP
F3185	#dependency_동생-@-NNG
F3186	#dependency_총칭-@-NNG
F3187	팬-@-NNG
F1685	로-@-NNG
F341	친분-@-NNG
F1957	옮기-@-VV
F1686	#dependency_up||X--up||NP--up||X--up||NP--down||X--down||NP--down||X--down||NP--down||X--down||
F3189	첩-@-NNG
F3190	인물-@-NNG
F1687	진출-@-NNG
F3407	윤선거-@-NNP
F3661	좌익-@-NNG
F342	리그-@-NNG
F3191	#dependency_하-@-VV--이-@-VV--대한민국-@-NNP--의_-@-NNP--역사-@-NNG
F4701	전복-@-NNG
F1689	상어-@-NNG
F3135	#dependency_경기-@-NNG--열리-@-VV--있-@-VA
F4702	서리-@-NNG
F4575	원곡-@-NNG
F3193	이중-@-NNG
F4169	활동-@-NNG
F5116	대통령-@-NNG
F1983	#dependency_해상-@-NNG--남쪽-@-NNG--괌-@-NNG
F344	변하-@-VV
F1994	#dependency_주석-@-NNG--안치-@-NNG--수-@-NNG
F4704	#dependency_예정-@-NNG--설치-@-NNG--흥도-@-NNP--동-@-NNG--덕양구-@-NNP--고양시-@-NNP
F345	밀리-@-VV
F4705	#dependency_영화-@-NNG
F5591	#dependency_이-@-VV--대한민국-@-NNP--의_-@-NNP--역사-@-NNG
F3195	국-@-NNG
F1691	피하-@-VV
F4707	꿈-@-NNG
F3196	#dependency_up||NP--up||VNP--down||VP_MOD--down||NP_AJT--down||
F3197	승합-@-NNG
F1692	#dependency_동일-@-NNG--본_-@-NNP--여객철-@-NNP--위치-@-NNG--오사키_시-@-NNP
F4710	책봉-@-NNG
F3198	띠-@-VV
F5010	고문-@-NNG
F4711	경진-@-NNG
F346	#dependency_음반-@-NNG
F1695	#dependency_up||NP_CNJ--up||NP--up||NP_AJT--up||AP--up||VP--down||VP--down||NP_AJT--down||NP_MOD--down||
F4413	예명-@-NNG
F3200	패-@-NNG
F4712	#dependency_up||X--up||NP--down||NP_MOD--down||
F1696	다수-@-NNG
F5117	#dependency_up||NP_MOD--up||VNP--down||NP_SBJ--down||VP_MOD--down||NP--down||NP--down||
F1698	실상사-@-NNP
F3201	#dependency_업적-@-NNG--둔갑-@-NNG--있-@-VA
F4713	항공-@-NNG
F347	#dependency_철도-@-NNG--역-@-NNG--위치-@-NNG--미요-@-NNP--시_-@-NNP--시_-@-NNP--히로시마_현-@-NNP
F4714	타이완-@-NNP
F4715	#dependency_보내-@-VV
F2024	#dependency_미니-@-NNG--시리즈-@-NNG--수목-@-NNG
F3202	#dependency_우승-@-NNG
F4660	#dependency_up||NP_MOD--up||NP_AJT--down||NP_MOD--down||NP--down||NP_MOD--down||
F3203	#dependency_up||NP_MOD--up||NP--up||NP_AJT--up||VP--down||
F349	분-@-NNG
F3204	#dependency_역-@-NNG--간-@-NNG
F2037	#dependency_up||NP_CNJ--up||NP--down||NP_CNJ--down||NP_MOD--down||
F350	상록-@-NNP
F1700	성서-@-NNP
F4716	녀-@-NNG
F3205	평소-@-NNG
F3206	#dependency_up||NP_AJT--up||VP--down||VP--down||NP_AJT--down||VP_MOD--down||NP_OBJ--down||NP_CNJ--down||
F4717	#dependency_up||X--up||NP_PRN--down||VP_MOD--down||
F4538	정착-@-NNG
F3207	타이틀-@-NNG
F3208	유치-@-NNG
F3209	#dependency_up||NP_AJT--up||VP--down||VP--down||
F2087	#dependency_허브-@-NNG
F57	요청-@-NNG
F354	#dependency_동일-@-NNG--본_-@-NNP--여객철-@-NNP--위치-@-NNG--쓰바메_시-@-NNP
F4502	#dependency_up||NP_CNJ--up||NP_AJT--up||VP_MOD--down||NP_SBJ--down||NP--down||NP--down||NP_MOD--down||
F3210	결혼-@-NNG
F5601	#dependency_대령-@-NNG
F2058	#dependency_down||X_MOD--down||
F4718	#dependency_조선-@-NNP--_인종-@-NNP--조선_-@-NNP--중종-@-NNP
F1703	기용-@-NNG
F3211	#dependency_up||NP_AJT--up||VP--down||X--down||
F4662	#dependency_주도-@-NNG--건립-@-NNG--문-@-NNG--짓-@-VV--무너뜨리-@-VV--위하-@-VV--상징-@-NNG--것-@-NNB--독립-@-NNG--체제-@-NNG--청-@-NNG--나라-@-NNG
F1705	형식-@-NNG
F355	국가-@-NNG
F5593	#dependency_up||NP_CNJ--up||NP_AJT--down||NP--down||
F1706	#dependency_up||NP_CNJ--up||NP_MOD--up||VNP--down||NP_AJT--down||NP_MOD--down||
F3212	친일-@-NNG
F4720	전력-@-NNG
F1493	#dependency_정부-@-NNG--경제-@-NNG--정책-@-NNG--밑-@-NNG--받침-@-NNG--다지-@-VV--유명-@-NNG--것-@-NNB--도입-@-NNG--경제-@-NNG
F356	#dependency_up||NP_AJT--up||VP_AJT--down||NP_AJT--down||NP_MOD--down||
F4721	넘어가-@-VV
F1895	본사-@-NNG
F3213	이때-@-NNG
F4722	소설-@-NNG
F4723	하계-@-NNG
F5349	벚-@-NNG
F4418	이-@-NR
F1709	장녀-@-NNG
F5090	#dependency_건국-@-NNG--과정-@-NNG--일치-@-NNG--따르-@-VV--시조-@-NNG--부여-@-NNP--은-@-NNP
F357	니캇푸_군-@-NNP
F358	하계_-@-NNP
F4724	병리-@-NNG
F5122	애니메이션-@-NNG
F3214	동남-@-NNP
F4725	살-@-NNB
F3215	국왕-@-NNG
F3216	부름-@-NNG
F359	김구-@-NNP
F5107	#dependency_몽골-@-NNP--대통령-@-NNG--연기-@-NNG--방송-@-NNG
F61	#dependency_위치-@-NNG--유후-@-NNP--_시-@-NNP--오이타_현-@-NNP
F4727	#dependency_있-@-VA--은행-@-NNP--동-@-NNG--중구_-@-NNP--대전-@-NNP--광역-@-NNG--시-@-NNG
F4728	일곱-@-NR
F2103	#dependency_up||NP_MOD--up||VNP--down||VNP--down||X--down||NP--down||VNP_MOD--down||VNP--down||NP_MOD--down||NP--down||NP--down||
F1713	무당-@-NNG
F1712	일으키-@-VV
F3939	#dependency_up||NP_MOD--up||VNP--down||VNP--down||NP--down||
F361	구입-@-NNG
F362	오가-@-VV
F2113	#dependency_up||VNP--down||VP--down||
F363	부산-@-NNP
F4729	은-@-NNP
F1714	대체하-@-VV
F364	지나-@-VV
F5124	#dependency_마애-@-NNG--여래-@-NNG--좌상-@-NNG--좌상-@-NNG--있-@-VA--입구-@-NNG--동화사-@-NNP
F2120	먹이-@-NNG
F1715	중단-@-NNG
F4731	#dependency_down||X--down||NP--down||X--down||
F3218	#dependency_용산구-@-NNP
F367	아일랜드-@-NNP
F3664	#dependency_떠나-@-VV
F368	윤원형-@-NNP
F5133	#dependency_up||NP--up||NP--up||NP_MOD--up||VNP--down||
F1717	#dependency_down||NP_SBJ--down||VP_MOD--down||NP_AJT--down||VP_MOD--down||VP--down||
F2138	#dependency_정안면-@-NNP--공주시-@-NNP
F1718	#dependency_억-@-NR--엔-@-NNB
F3221	#dependency_운행-@-NNG
F3222	왕비-@-NNG
F370	하키-@-NNG
F3940	나가노_현-@-NNP
F3223	품-@-VV
F4733	콘서트-@-NNG
F64	조_-@-NNP
F5153	#dependency_홋카이도_-@-NNP--여객철-@-NNP--위치-@-NNG--오조라-@-NNP--_정-@-NNP--아바시리_군-@-NNP
F1719	#dependency_up||NP_CNJ--up||R_PRN--down||NP--down||
F3224	의병-@-NNG
F4734	#dependency_등장-@-NNG--선정-@-NNG
F1720	가미카와_군-@-NNP
F1721	둘째-@-NR
F3225	클라리넷-@-NNG
F401	#dependency_up||NP_CNJ--up||NP--up||NP--down||NP_SBJ--down||VP_MOD--down||NP_OBJ--down||VP_MOD--down||NP_OBJ--down||VP_MOD--down||NP_AJT--down||
F1723	#dependency_전철-@-NNG--역-@-NNG--있-@-VA--동촌로-@-NNP--동구_-@-NNP--대구-@-NNP--광역-@-NNG--시-@-NNG
F3226	일부-@-NNG
F3227	회장-@-NNG
F3228	자결-@-NNG
F1724	#dependency_up||NP_PRN--down||NP--down||NP--down||
F2652	구_-@-NNP
F373	#dependency_시리즈-@-NNG--승용-@-NNG--차-@-NNG--회사-@-NNG
F374	신성-@-NNP
F375	#dependency_위치-@-NNG--호로노베-@-NNP--_정-@-NNP--데시오_군-@-NNP
F3229	#dependency_속-@-NNG--과-@-NNG
F1726	니가타_현-@-NNP
F1727	공식-@-NNG
F4736	#dependency_up||X--up||NP_AJT--up||VP--down||VP--down||NP_AJT--down||VP_MOD--down||VP--down||NP_AJT--down||NP_MOD--down||
F1728	니가타-@-NNP
F3230	위원-@-NNG
F4737	#dependency_up||NP_SBJ--up||VNP--down||NP_MOD--down||NP--down||
F3231	당_-@-NNP
F3667	#dependency_up||NP--up||NP_OBJ--up||VP--down||NP_AJT--down||NP_SBJ--down||NP--down||
F3233	부사-@-NNG
F4738	#dependency_주인-@-NNG--공-@-NNG--역-@-NNG
F3234	#dependency_그룹-@-NNG
F3417	고종-@-NNP
F4000	#dependency_up||NP_OBJ--down||VP_MOD--down||NP--down||NP_MOD--down||
F3235	#dependency_up||NP_MOD--up||VNP--down||VP_MOD--down||VNP--down||NP_PRN--down||NP--down||
F1730	보살-@-NNG
F3236	#dependency_up||NP_AJT--down||NP--down||NP--down||NP--down||
F4740	#dependency_속-@-NNG--박쥐-@-NNG--일종-@-NNG
F1731	#dependency_철도-@-NNG--역-@-NNG--위치-@-NNG--다마노_시-@-NNP
F4482	철_-@-NNP
F3237	가와사키_시-@-NNP
F4742	#dependency_있-@-VA--항공-@-NNG--두-@-VV
F380	#dependency_up||NP_MOD--up||NP_SBJ--up||VNP--down||
F1733	#dependency_up||VP--down||NP_AJT--down||NP_MOD--down||
F3239	#dependency_up||VP--up||VP--down||NP_AJT--down||
F4743	#dependency_선수-@-NNG--협력-@-NNG--맺-@-VV--오-@-VV
F2230	#dependency_서-@-NNG--일본_-@-NNP--여객철-@-NNP--위치-@-NNG--오노_시-@-NNP
F5231	#dependency_up||NP_MOD--up||NP_AJT--up||VP--down||VP--down||VP--down||NP_AJT--down||
F381	몰아내-@-VV
F3242	#dependency_대통령-@-NNG--넓히-@-VV--장악-@-NNG--상업-@-NNG--계산-@-NNG--방지-@-NNG--갈등-@-NNG--간-@-NNB--프랑스-@-NNP
F3243	#dependency_up||VP--down||VP--down||NP_AJT--down||
F466	화산-@-NNG
F1735	공양왕-@-NNP
F384	어항-@-NNG
F4423	#dependency_up||VP--up||VP--up||VP_MOD--up||NP_OBJ--up||VP--down||NP_AJT--down||
F4746	#dependency_있-@-VA--리야드-@-NNP
F3244	#dependency_위치-@-NNG--시모노세키-@-NNP--_시-@-NNP
F3245	권근-@-NNP
F1737	#dependency_방영-@-NNG
F385	예외-@-NNG
F2588	베이스-@-NNG
F2252	#dependency_상-@-NNG
F4748	#dependency_up||IP--up||VP--down||NP_AJT--down||NP_MOD--down||
F1738	구청역-@-NNP
F386	#dependency_연호-@-NNG
F4749	#dependency_up||NP--up||R_PRN--down||NP_AJT--down||NP--down||
F1416	_유-@-NNP
F4750	우베_시-@-NNP
F5264	후사-@-NNG
F66	도카이도_-@-NNP
F1739	#dependency_up||X--up||VP--down||VP--down||
F387	#dependency_열리-@-VV
F5128	왕족-@-NNG
F4751	김천시-@-NNP
F4752	콜라보레이션-@-NNP
F4753	개칭-@-NNG
F3247	#dependency_일종-@-NNG--속-@-NNG
F3248	#dependency_국무-@-NNG--장관-@-NNG--자신-@-NNG--걸치-@-VV--우려-@-NNG--정부-@-NNG
F3249	지적-@-NNG
F1740	#dependency_통치-@-NNG
F1741	#dependency_up||L--up||R_PRN--down||
F5767	#dependency_up||NP_CNJ--up||NP--down||NP_MOD--down||
F389	트레이-@-NNP
F5295	호텔-@-NNG
F3250	고대-@-NNG
F391	#dependency_세계-@-NNG--잎코박쥐-@-NNP--과-@-NNG--속-@-NNG--일종-@-NNG
F392	작품-@-NNG
F3251	#dependency_정기훈_-@-NNP--야구_-@-NNP--선수-@-NNG
F1742	마-@-NNG
F4755	#dependency_up||NP_AJT--up||VP--down||NP_OBJ--down||
F1744	일치-@-NNG
F4756	#dependency_밴드-@-NNG
F4757	#dependency_up||NP_OBJ--up||VP--down||VP--down||NP--down||VP_MOD--down||NP_OBJ--down||
F4758	#dependency_로스트_-@-NNP--시즌-@-NNG
F1745	적-@-VA
F4759	협회-@-NNG
F3252	동천-@-NNP
F3253	청소년-@-NNG
F393	상기-@-NNG
F3254	화제-@-NNG
F1746	뒷날-@-NNG
F1747	완공-@-NNG
F4760	박쥐-@-NNG
F394	작사-@-NNG
F3255	하-@-VV
F1748	#dependency_동일-@-NNG--본_-@-NNP--여객철-@-NNP--위치-@-NNG--오마치-@-NNP--_시-@-NNP
F1749	루모이_-@-NNP
F1750	딘-@-NNP
F5335	미향-@-NNP
F2318	#dependency_up||NP_CNJ--down||NP--down||NP--down||
F395	시내-@-NNG
F1754	바둑-@-NNG
F1755	#dependency_구입-@-NNG--맞아떨어지-@-VV--이해-@-NNG--관계-@-NNG--대통령-@-NNG--넓히-@-VV--장악-@-NNG--상업-@-NNG--계산-@-NNG--방지-@-NNG--갈등-@-NNG--간-@-NNB--프랑스-@-NNP
F1756	등판-@-NNG
F3256	경우-@-NNG
F2234	시민-@-NNG
F396	트롬본-@-NNG
F1903	#dependency_up||VNP--down||NP_SBJ--down||X--down||
F4762	북-@-NNG
F5131	#dependency_up||NP--up||X--up||NP_SBJ--up||VNP--down||VP_MOD--down||NP_AJT--down||NP--down||NP_MOD--down||
F1758	주변-@-NNG
F1759	채-@-NNB
F3257	#dependency_up||NP--up||NP--down||VP--down||VP--down||VP--down||VP--down||VP--down||VP_OBJ--down||NP_SBJ--down||VP_MOD--down||VP_OBJ--down||NP_OBJ--down||
F4763	물리-@-NNG
F3259	#dependency_오-@-VV--분류-@-NNG--군-@-NNG
F3260	기-@-NNG
F924	#dependency_수상-@-NNG
F4764	위-@-NNB
F4765	#dependency_위치-@-NNG--동구_-@-NNP--광주-@-NNP--광역-@-NNG--시-@-NNG
F397	#dependency_down||VP_MOD--down||NP_CMP--down||NP_MOD--down||
F2346	이치노세-@-NNP
F1761	세계_-@-NNP
F399	발생-@-NNG
F400	#dependency_사이-@-NNG--확정-@-NNG--임명-@-NNG--방문-@-NNG
F4766	#dependency_역-@-NNG--있-@-VA--어모-@-NNG--김천시-@-NNP--김천시-@-NNP
F1762	광남-@-NNP
F978	#dependency_사후-@-NNG--표현-@-NNG--징후-@-NNG--제거-@-NNG--월권-@-NNG--가-@-VV
F4767	히로시마_시-@-NNP
F5352	피츠버그-@-NNP
F402	#dependency_대왕-@-NNG
F980	따르-@-VV
F403	#dependency_일리노이_주-@-NNP
F4428	잇-@-VV
F4769	천만-@-NR
F4770	#dependency_전기-@-NNG
F404	#dependency_만장-@-NNG--일치-@-NNG--당선-@-NNG--의결-@-NNG--선거-@-NNG--하원-@-NNG--의원-@-NNG
F4771	#dependency_지도-@-NNG
F3262	유사-@-NNG
F3263	#dependency_up||NP--up||NP_MOD--down||VP_MOD--down||NP_SBJ--down||NP--down||
F1764	#dependency_억-@-NR
F4772	#dependency_up||NP--up||NP--up||NP--up||NP_SBJ--up||VNP--down||VP_MOD--down||NP_AJT--down||NP_CNJ--down||NP--down||
F1765	공산당-@-NNP
F5604	파리_-@-NNP
F3264	#dependency_up||VP--down||
F4773	마산-@-NNP
F3265	안산_-@-NNP
F1766	방안-@-NNG
F1767	의장-@-NNG
F5366	#dependency_up||NP_SBJ--up||VP--up||VP--down||
F4429	후나바-@-NNP
F3266	서울_-@-NNP
F406	#dependency_down||NP--down||
F2501	제국-@-NNG
F1769	비롯하-@-VV
F3267	생몰-@-NNG
F1770	분기-@-NNG
F4774	#dependency_up||VNP_MOD--up||NP_AJT--up||VP--down||VNP--down||VNP--down||NP--down||NP_MOD--down||
F3268	큰북-@-NNG
F407	#dependency_일종-@-NNG
F1771	#dependency_방송-@-NNG--슈퍼-@-NNG--주니-@-NNG--그리-@-VV--과정-@-NNG--되-@-VV--겪-@-VV--멤버-@-NNG
F3270	#dependency_up||NP_AJT--up||VP--down||VP--down||VP--down||VP--down||
F408	겸하-@-VV
F3271	특정_-@-NNP
F4775	청구영언-@-NNP
F3588	#dependency_제독-@-NNG--사령-@-NNG
F1773	#dependency_동생-@-NNG--형-@-NNG
F4776	경전선-@-NNP
F409	극장-@-NNG
F3272	보은군-@-NNP
F410	미술-@-NNG
F3273	#dependency_down||VP_MOD--down||VP--down||NP_AJT--down||NP_CNJ--down||NP--down||
F3274	목록-@-NNG
F411	기리-@-VV
F1432	#dependency_up||NP_CNJ--up||NP_OBJ--up||VP--down||NP_AJT--down||NP--down||VP_MOD--down||NP_AJT--down||NP--down||NP_MOD--down||
F3275	#dependency_위치-@-NNG--가이요-@-NNP--_정-@-NNP--가이후_군-@-NNP
F4431	둘러싸-@-VV
F3276	#dependency_달성-@-NNG
F2633	#dependency_up||NP_CNJ--up||NP--down||NP--down||
F3277	대체-@-NNG
F2022	#dependency_up||NP--down||
F5407	종목-@-NNG
F4778	프리미어리그-@-NNP
F2446	#dependency_up||NP_AJT--up||VP--up||
F3280	본명-@-NNG
F1905	입단-@-NNG
F413	#dependency_일으키-@-VV--등-@-NNB--서재필-@-NNP
F5369	#dependency_말레이시아의_-@-NNP--총리-@-NNG
F2452	개선-@-NNG
F1774	#dependency_up||NP_AJT--up||VP--down||X_OBJ--down||
F414	#dependency_up||X_AJT--up||VP_MOD--up||NP_MOD--up||VNP--down||
F419	타석-@-NNG
F4700	#dependency_국왕-@-NNG
F415	남한-@-NNP
F3281	밀려나-@-VV
F1775	#dependency_up||NP_AJT--up||VP--down||VNP--down||NP_MOD--down||NP--down||
F3282	왕-@-NNG
F4781	호-@-NNG
F3283	#dependency_몽골-@-NNP--중국-@-NNP
F3284	증가-@-NNG
F417	#dependency_up||NP_CNJ--up||NP--up||NP_SBJ--up||VP--down||NP_AJT--down||VNP_MOD--down||
F1776	#dependency_up||NP_MOD--down||VNP_MOD--down||NP--down||
F3285	해-@-NNG
F3286	흥선-@-NNP
F1777	#dependency_up||NP_AJT--up||VP--down||VP--down||VP--down||NP_AJT--down||NP--down||
F5326	유길준-@-NNP
F5453	#dependency_up||NP_MOD--up||NP--up||VNP--down||VP_MOD--down||VNP--down||NP--down||
F1778	새누리당-@-NNP
F4420	김해시-@-NNP
F418	치하-@-NNG
F4782	세-@-NNB
F3288	#dependency_up||L--up||R_PRN--down||NP--down||
F2345	보이-@-VV
F4783	#dependency_up||NP--up||NP--up||
F420	미국-@-NNP
F421	실내-@-NNG
F4784	#dependency_서-@-NNG--일본_-@-NNP--여객철-@-NNP--위치-@-NNG--쇼바라_시-@-NNP
F2507	미야자키_현-@-NNP
F4785	한정-@-NNG
F1782	저수-@-NNG
F1783	캐나다-@-NNP
F3762	교-@-NNG
F4670	#dependency_왕뱀속-@-NNP--유일종-@-NNP
F3291	#dependency_up||NP--up||NP_AJT--up||VP--up||VP--down||NP_OBJ--down||VP_MOD--down||NP_OBJ--down||VP--down||
F4786	이와테_현-@-NNP
F423	민주당_-@-NNP
F4787	#dependency_수록-@-NNG--곡-@-NNG
F3292	#dependency_up||NP--up||NP_MOD--up||NP_AJT--up||VP_MOD--up||NP_AJT--down||NP_SBJ--down||NP--down||NP--down||NP--down||
F4788	막내-@-NNG
F1785	사임-@-NNG
F1786	#dependency_잇-@-VV--노선-@-NNG
F4789	대산-@-NNP
F4790	#dependency_up||NP_MOD--up||VNP--down||VNP--down||
F1788	#dependency_대통령-@-NNG--사망-@-NNG--관련-@-NNG--오-@-VV
F5126	곡비원-@-NNP
F1789	#dependency_운영-@-NNG--다음가-@-VV--수익-@-NNG--얻-@-VV--가지-@-VV--별칭-@-NNG--우등-@-NNG--철도-@-NNG
F3431	#dependency_up||NP_AJT--down||VP_MOD--down||VP--down||NP_AJT--down||
F4436	이웃-@-NNG
F4792	#dependency_인악-@-NNP--당-@-NNP--대사-@-NNG--진영-@-NNG--진영-@-NNG--동구_-@-NNP--대구-@-NNP--광역-@-NNG--시-@-NNG
F5490	#dependency_up||X--up||VP--down||VP--down||VP--down||VP--down||NP_OBJ--down||NP_MOD--down||NP_CNJ--down||NP--down||NP_CNJ--down||
F4793	#dependency_싱글-@-NNG
F3297	#dependency_목조관음보살-@-NNP--좌상-@-NNG--불상-@-NNG--있-@-VA--청련-@-NNP--마곡-@-NNP--공주시-@-NNP
F424	제작-@-NNG
F5496	우려-@-NNG
F425	종영-@-NNG
F2550	#dependency_형-@-NNG--동생-@-NNG--때-@-NNG
F3298	#dependency_확립-@-NNG--의식-@-NNG--과-@-NNG
F1790	#dependency_보스턴-@-NNP
F3673	#dependency_up||VP--up||VP_MOD--up||NP_MOD--down||
F426	#dependency_조카-@-NNG--태어나-@-VV--베네치아-@-NNP
F1791	이천시-@-NNP
F427	조선_원종-@-NNP
F1792	#dependency_up||NP_MOD--up||NP_OBJ--up||VP_OBJ--up||VP--up||VP_MOD--up||NP--down||X_MOD--down||
F4796	사격-@-NNG
F4797	연령-@-NNG
F1096	명종-@-NNP
F428	조사-@-NNG
F3299	필요-@-NNG
F3300	#dependency_up||NP_PRN--down||NP_MOD--down||
F4671	#dependency_up||NP_CNJ--up||NP_MOD--down||NP_MOD--down||
F2232	#dependency_과-@-NNG--만나-@-VV--있-@-VA--바-@-NNB--방문-@-NNG
F4438	개포-@-NNG
F3301	#dependency_up||NP--up||NP_AJT--up||VP--down||VP--down||
F429	#dependency_뿔호반새과-@-NNP--속-@-NNG--총칭-@-NNG
F1795	#dependency_up||NP_OBJ--up||VP--down||VP--down||VP--down||VP--down||
F1796	학위-@-NNG
F3302	#dependency_up||X--up||VP--down||VP--down||NP_OBJ--down||
